sample_id,color_exists,gray_exists,id_exists,color_shape,color_unique_quantized,color_components,color_small_components,color_holes,gray_shape,gray_unique,gray_components,gray_small_components,gray_holes,id_shape,id_num_classes,id_classes_preview,id_components_global,id_small_components_global,id_holes_global,color_id_presence_mismatch_ratio,status,reasons
LabelMulti_N_1,True,True,True,"(971, 259)",123,12,0,3,"(971, 259)",165,193,191,48,"(971, 259)",0,[],0,0,0,0.19952761353379272,repair,"['too_many_quantized_colors', 'gray_noise', 'id_empty', 'color_id_mismatch']"
LabelMulti_N_10,True,True,True,"(778, 311)",113,4,0,1,"(778, 311)",152,101,98,22,"(778, 311)",0,[],0,0,0,0.13301068780532158,repair,"['too_many_quantized_colors', 'gray_noise', 'id_empty', 'color_id_mismatch']"
LabelMulti_N_11,True,True,True,"(727, 181)",111,5,0,3,"(727, 181)",156,110,106,28,"(727, 181)",0,[],0,0,0,0.17196227590871438,repair,"['too_many_quantized_colors', 'gray_noise', 'id_empty', 'color_id_mismatch']"
LabelMulti_N_12,True,True,True,"(986, 164)",112,6,0,5,"(986, 164)",150,146,144,28,"(986, 164)",0,[],0,0,0,0.24105773512096176,repair,"['too_many_quantized_colors', 'gray_noise', 'id_empty', 'color_id_mismatch']"
LabelMulti_N_13,True,True,True,"(736, 149)",104,8,0,3,"(736, 149)",149,111,110,34,"(736, 149)",0,[],0,0,0,0.22846148234607527,repair,"['too_many_quantized_colors', 'gray_noise', 'id_empty', 'color_id_mismatch']"
LabelMulti_N_14,True,True,True,"(734, 169)",113,3,0,3,"(734, 169)",151,104,102,23,"(734, 169)",0,[],0,0,0,0.19157409348145044,repair,"['too_many_quantized_colors', 'gray_noise', 'id_empty', 'color_id_mismatch']"
LabelMulti_N_15,True,True,True,"(692, 177)",109,6,0,1,"(692, 177)",148,117,115,33,"(692, 177)",0,[],0,0,0,0.24303582508735835,repair,"['too_many_quantized_colors', 'gray_noise', 'id_empty', 'color_id_mismatch']"
LabelMulti_N_16,True,True,True,"(878, 310)",109,8,0,0,"(878, 310)",149,144,140,23,"(878, 310)",0,[],0,0,0,0.11432875303108238,repair,"['too_many_quantized_colors', 'gray_noise', 'id_empty', 'color_id_mismatch']"
LabelMulti_N_17,True,True,True,"(918, 211)",114,4,0,4,"(918, 211)",155,132,129,27,"(918, 211)",0,[],0,0,0,0.1991657115716218,repair,"['too_many_quantized_colors', 'gray_noise', 'id_empty', 'color_id_mismatch']"
LabelMulti_N_18,True,True,True,"(782, 164)",103,6,0,5,"(782, 164)",141,127,125,34,"(782, 164)",0,[],0,0,0,0.25189476639011915,repair,"['too_many_quantized_colors', 'gray_noise', 'id_empty', 'color_id_mismatch']"
LabelMulti_N_19,True,True,True,"(852, 232)",118,13,0,0,"(852, 232)",165,168,167,48,"(852, 232)",0,[],0,0,0,0.1742907155577141,repair,"['too_many_quantized_colors', 'gray_noise', 'id_empty', 'color_id_mismatch']"
LabelMulti_N_2,True,True,True,"(828, 218)",115,5,0,5,"(828, 218)",158,137,136,47,"(828, 218)",0,[],0,0,0,0.18939746487612463,repair,"['too_many_quantized_colors', 'gray_noise', 'id_empty', 'color_id_mismatch']"
LabelMulti_N_20,True,True,True,"(960, 212)",115,8,0,2,"(960, 212)",156,135,131,24,"(960, 212)",0,[],0,0,0,0.18383942610062892,repair,"['too_many_quantized_colors', 'gray_noise', 'id_empty', 'color_id_mismatch']"
LabelMulti_N_21,True,True,True,"(719, 182)",113,2,0,1,"(719, 182)",158,92,91,12,"(719, 182)",0,[],0,0,0,0.15457977349493343,repair,"['too_many_quantized_colors', 'gray_noise', 'id_empty', 'color_id_mismatch']"
LabelMulti_N_22,True,True,True,"(929, 205)",114,9,0,7,"(929, 205)",151,175,174,50,"(929, 205)",0,[],0,0,0,0.22608102076715061,repair,"['too_many_quantized_colors', 'gray_noise', 'id_empty', 'color_id_mismatch']"
